Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
CPCG0100	0.1622683382328347	0	0	0.00848245980979022	0	0.34072587171600033	0.006776691839938547	0	0.026598161739680434	0	0.03747392975147446	0	0.06276303602364836	0.03169765724246876	0.05944326419058032	0.15611188155183445	0.014100758790154388	0	0.07362438226953488	0	0.0199335668420602	0	0.99	-0.0342	1.0907134527852955
CPCG0183	0.0556497200068178	0	0.053615877645147865	0.012446667353938623	0	0.2166714658626469	0	0.00557874696474657	0	0	0	0.037232443475165786	0.0003	0.3126706600280838	0.011603476256931857	0.2098013813698394	0	0.03868416107499924	0.033033064755819574	0	0.012731005278463964	0	0.97	-0.0315	1.1152777892725518
CPCG0184	0.029475808243339216	0	0.0004	0	0	0.2796760900407196	0.028741156424037368	0	0.037721849272387004	0	0.035342831936491015	0	0	0.1429289262416968	0	0.22191658368638403	0	0.09799424938988546	0.1205024743919877	0	0.00529766948244536	0	0.99	-0.0336	1.0906006779693627
CPCG0196	0.11512371809967178	0	0	0.025260051179751886	0	0.3360898481806336	0.01680139967753096	0	0.0070871887370247575	0	0.06793658291316644	0	0.028785386679665657	0.23562970527578705	0.04147058959404477	0.06980287828774191	0	0.012244886015812724	0.03412937805051681	0	0.009638387308651677	0	0.72	-0.0113	1.0935461197574121
CPCG0235	0.07768192896575339	0	0	0	0	0.3512012794867042	0	0	0.014251375072232918	0	0.05564420476777878	0	0.04865403094722851	0	0.0005	0.27135511553836933	0	0.04531098312000627	0.13404252692266938	0	0.0013784843976473824	0	0.99	-0.0475	1.0928195192060355
CPCG0236	0.08833973097947986	0	0	0.012105620422549925	0	0.41992172848813886	0	0	0	0	0.020468320464444672	0.06494760731134856	0.0524167587840079	0	0.012759766609692953	0.24720099043206809	0	0.03802688495726529	0.04381259155100389	0	0	0	0.99	-0.0367	1.1032375300177533
CPCG0241	0.21907089352048384	0	0.008324940639876313	0	0	0.26685849126208205	0.08874601674446034	0	0	0	0.06253792639794406	0	0.05318915815136084	0.0660046343272234	0.036262074068508954	0.09569841040397849	0	0	0.09349665693685176	0	0.009810797547229962	0	0.99	-0.0367	1.0909936688646011
CPCG0246	0.14597532142443606	0	0.002496430692339867	0	0	0.28571064823361725	0	0.010261740779939969	0	0	0	0.12462316611627967	0.006857372463680871	0.08810522807019192	0.0001	0.25876495855090875	0	0.05787141344962591	0.015216404064011141	0	0.003980099080052248	0	0.99	-0.0348	1.1048808801227608
CPCG0248	0.04723796874463409	0	0.005415109743907991	0.008382883669153563	0	0.34261404366518755	0	0	0.07895043111107815	0	0.026220383306266224	0	0.06596882946786567	0.1520784027806251	0.07323666418340394	0.022612946060178055	0	0.049228030353087926	0.12805430691461175	0	0	0	0.98	-0.0321	1.0946540127508182
CPCG0249	0.09707197727718919	0	0	0	0	0.2786632400699005	0	0	0.0298206939321869	0	0.08979229415983944	0	0	0.21792610326816142	0.0073574922979249505	0.2746870025818002	0	0	0.004675406331773927	0	0	0	0.95	-0.0288	1.109255124140186
CPCG0250	0.20017131468797472	0	0.06460259468639244	0	0	0.32305750514864373	0	0	0.01391855904569616	0	0.020850746710441143	0	0.021463045983969812	0.18828854229680667	0.005059495000636444	0.0884293986518071	0	0.06439790023125168	0.007089405224737362	0.0026714923316427134	0	0	0.46	0.010459181811880549	1.0921057839241755
CPCG0255	0.135345185317014	0	0.02514051791500409	0	0	0.2818068046222809	0	0.010844931582315259	0	0	0	0.027033909717192602	0.0010780006241490382	0.16703678774635755	0.027517788420290134	0.18946273955415077	0	0.03991873935439454	0.09481459514685109	0	0	0	0.7	-0.0102	1.0832401613974443
CPCG0256	0.15094013642343343	0	0	0	0	0.2848031974749252	0.03987740494240743	0	0	0	0.09906506115901713	0	0.029207696149102326	0.11725056616780126	0.01598077411139815	0.08826168980952201	0	0.02296284313019825	0.1456688974062271	0	0.005981733225967666	0	0.96	-0.031	1.0857534010816838
CPCG0258	0.11720667854827163	0	0	0	0	0.3933128565841284	0	0	0	0	0.0332736618219179	0	0.04271734659926548	0.10326253982727736	0.055610486478713264	0.12251620705032244	0	0	0.08156871905471752	0	0.050531504035386025	0	0.99	-0.0361	1.0920969850557487
CPCG0262	0.004170998344955398	0	0.008356950811540557	0.13425152934035275	0	0.38381418892732044	0.016655861505542807	0	0.03933577647033448	0	0.022129150845269792	0.009713797480887087	0.13484815388178178	0.1993641553746429	0	0	0	0.037481858690264346	0	0.007646571558114842	0	0.002231006768992845	0.92	-0.0279	1.121055493329038
CPCG0263	0.11300450961573237	0	0	0.01012643377527928	0	0.29218407279671765	0.004970172328812964	0.019280632988676494	0.05343542756602005	0	0.033713862263037915	0	0.029834266155619637	0.07132457674776731	0.03930011687205833	0.17071435826479017	0	0	0.16211157062548784	0	0	0	0.96	-0.0298	1.0861175072581353
