ID	StromalScore	ImmuneScore	ESTIMATEScore
CPCG0100	459.044999182837	56.254221980462	515.299221163299
CPCG0183	66.4285647309968	-501.298717943972	-434.870153212975
CPCG0184	267.56250187777	-514.312101746191	-246.749599868421
CPCG0196	924.805420648547	672.149654922992	1596.95507557154
CPCG0235	208.977253487412	-523.75216833014	-314.774914842728
CPCG0236	481.872474915603	-182.39501021298	299.477464702623
CPCG0241	346.745133390152	-456.853614567785	-110.108481177633
CPCG0246	394.465567492441	-432.615408268322	-38.1498407758812
CPCG0248	240.320436665355	-336.49646586814	-96.1760292027851
CPCG0249	586.328687347848	-361.374060463543	224.954626884306
CPCG0250	599.687897550173	465.818502835255	1065.50640038543
CPCG0255	277.820119935477	-215.878618036719	61.941501898758
CPCG0256	483.411215451374	-231.519581188191	251.891634263183
CPCG0258	234.206789784009	-438.106924457394	-203.900134673385
CPCG0262	-135.235223851921	-727.345688354439	-862.580912206359
CPCG0263	672.300882307091	-133.34387271927	538.957009587821
CPCG0265	33.4635736797801	-661.584840925801	-628.121267246021
CPCG0266	791.057433451785	-54.2610407703469	736.796392681438
CPCG0267	136.351015205587	-64.8463621982671	71.5046530073196
CPCG0268	495.854056711989	230.371641641452	726.225698353442
CPCG0269	344.280620086025	-359.881992864671	-15.6013727786459
CPCG0324	501.250879958738	-206.989681964813	294.261197993925
CPCG0331	84.1226003899202	-464.277730921412	-380.155130531492
CPCG0333	805.921325338428	-12.4015425408271	793.519782797601
CPCG0334	78.5746752600568	-682.352605057641	-603.777929797585
CPCG0335	355.959800910954	-318.002858161701	37.956942749253
CPCG0336	406.364807391952	-315.219599660131	91.1452077318205
CPCG0339	759.54178068683	-194.423794046536	565.117986640294
CPCG0340	283.501422632442	-627.520591109345	-344.019168476903
CPCG0341	274.576128547762	-376.960786335301	-102.384657787539
CPCG0342	778.087038245431	-211.726923814829	566.360114430602
CPCG0344	336.68266221538	-257.650353892835	79.0323083225452
CPCG0345	196.490011931068	-451.573873282504	-255.083861351436
CPCG0346	649.182750138376	176.925876781881	826.108626920257
CPCG0348	385.463236984282	-202.357639393365	183.105597590917
CPCG0349	-299.065906079165	-929.26670242876	-1228.33260850792
CPCG0350	68.0673212091716	-717.436352854151	-649.36903164498
CPCG0353	56.9359179265407	-149.611614708232	-92.6756967816918
CPCG0354	-161.440473501392	-557.947929787651	-719.388403289043
CPCG0355	-109.654147359883	-376.541487233939	-486.195634593823
CPCG0356	-356.420899344422	-870.785453680664	-1227.20635302509
CPCG0357	-105.012598615943	-176.988364239101	-282.000962855044
CPCG0358	933.189075572188	286.761700922065	1219.95077649425
CPCG0360	-113.365782190482	-88.2995829258812	-201.665365116363
CPCG0361	994.923076752781	408.788795279165	1403.71187203195
CPCG0362	91.7562308824645	-200.949825966854	-109.193595084389
CPCG0363	92.1605676217235	-880.871296313017	-788.710728691293
CPCG0364	445.843438296991	-259.236434673661	186.60700362333
CPCG0365	262.246088330794	-586.129982560584	-323.88389422979
CPCG0366	236.345568562276	-5.2107587050225	231.134809857253
CPCG0368	-105.102865554373	-595.481371118258	-700.584236672631
CPCG0369	-266.899202010349	-607.533813840897	-874.433015851246
CPCG0371	170.765287584909	82.3773906411864	253.142678226095
CPCG0372	474.22251031571	185.488778593912	659.711288909621
CPCG0373	10.8394678951004	-884.655447478305	-873.815979583205
CPCG0374	222.78197128899	-413.337174779918	-190.555203490928
CPCG0375	-498.641849150434	-1018.38907681747	-1517.0309259679
CPCG0377	-247.517688527169	-653.54953828623	-901.067226813399
CPCG0378	-421.933389934249	-724.975952777776	-1146.90934271203
CPCG0379	-381.418571051069	-779.99961802195	-1161.41818907302
CPCG0380	73.1528310507955	-323.952397725403	-250.799566674607
CPCG0381	239.795001555374	-399.563618444523	-159.768616889149
CPCG0382	-154.040507746823	-705.038236947901	-859.078744694724
CPCG0387	-501.157488994862	-369.383920096839	-870.541409091701
CPCG0388	546.386306351897	-88.2349057078469	458.15140064405
CPCG0391	-197.115155346929	34.5546160754046	-162.560539271524
CPCG0392	1083.28822376166	-94.0364183937946	989.251805367862
CPCG0394	201.103638846894	-697.272838115841	-496.169199268947
CPCG0395	673.5750352414	10.9547448365439	684.529780077944
CPCG0396	508.243833789606	-339.384072581843	168.859761207764
CPCG0397	449.418629285386	-238.467914306174	210.950714979213
CPCG0398	671.541944598701	152.809905762095	824.351850360796
CPCG0401	-168.173052036085	-619.467467080751	-787.640519116836
CPCG0402	252.382094853912	36.5494232962921	288.931518150204
CPCG0404	-19.7593268515288	-671.002214426078	-690.761541277607
CPCG0406	79.4509284897104	-463.644000567975	-384.193072078264
CPCG0407	-34.1404327977732	-874.368135702136	-908.508568499909
CPCG0408	-177.8273920633	-748.050728286562	-925.878120349862
CPCG0409	117.330880614855	-363.581824299889	-246.250943685034
CPCG0410	-205.413942407045	-675.890846949287	-881.304789356332
CPCG0411	292.005201915316	271.68003921971	563.685241135026
CPCG0412	37.4666140875835	-808.256918938456	-770.790304850872
CPCG0413	-510.05484971402	-797.121342582915	-1307.17619229694
CPCG0414	-265.234452766701	-1010.76721779865	-1276.00167056535
CPCG0415	139.774115209846	-660.631294644062	-520.857179434216
CPCG0418	696.937975976079	503.441401754717	1200.3793777308
CPCG0423	310.232170576027	-142.404603477571	167.827567098456
CPCG0424	-109.141169891929	-576.144572767245	-685.285742659174
CPCG0426	-876.532362153428	-790.860706480854	-1667.39306863428
CPCG0428	462.732469410671	-287.073602605248	175.658866805423
CPCG0432	-76.5502151402906	-477.494148190047	-554.044363330337
CPCG0433	593.946667788967	295.698501113123	889.64516890209
CPCG0434	653.111600295018	-268.028257565463	385.083342729554
CPCG0435	297.515145839324	78.3881576730537	375.903303512378
CPCG0437	298.5657347593	-204.591147871239	93.9745868880609
CPCG0439	45.1268985424611	-675.482216421295	-630.355317878834
CPCG0445	200.282886513155	-308.627229483286	-108.344342970131
CPCG0448	89.2119407596683	-458.969178943839	-369.757238184171
CPCG0450	484.361701954702	-257.400897255408	226.960804699294
CPCG0451	550.614021520376	-100.517586170845	450.096435349531
CPCG0452	531.651189260883	-161.025454127062	370.625735133821
CPCG0453	-132.101971901164	-849.686962645502	-981.788934546666
CPCG0454	-19.8303464525816	-672.377810891333	-692.208157343915
